"topic","p_value","mean_test_statistic","se_test_statistic"
"Abortion",0,0.449361615119463,0.114519650763156
"Black Americans",0,0.529618608052885,0.13011797635194
"Entertainment",0.05,0.278578826845643,0.163994495154191
"Gold",0.04,0.15530138051325,0.0728789062890278
"HealthScience",0,0.60291288848184,0.151754614595221
"Illegal Immigration",0,0.261575234880273,0.0484007776543917
"LGBTQ",0.04,0.214170566690282,0.113681275474737
"Sports",0.989795918,-0.0637491993911705,0.0360274688316992
"USA",0,0.434012428333816,0.0715231381389759
"WeatherClimate",0.01,0.36441840723379,0.127887358898701
